iteration,move,current_score,best_score,current_cost,best_cost,was_tabu,aspiration,tabu_size
0,move 2 from T2 to T2,1200.0,1200.0,1200.0,1200.0,False,True,2
1,move 1 from T1 to T2,1130.0,1130.0,1130.0,1130.0,False,True,3
2,flip assignment T1,1130.0,1130.0,1130.0,1130.0,False,False,4
3,move 1 from T2 to T2,1160.0,1130.0,1160.0,1130.0,False,False,5
4,flip assignment T1,1160.0,1130.0,1160.0,1130.0,False,False,6
5,move 1 from T2 to T2,1190.0,1130.0,1190.0,1130.0,False,False,7
6,flip assignment T1,1190.0,1130.0,1190.0,1130.0,False,False,8
7,move 4 from T2 to T1,1200.0,1130.0,1200.0,1130.0,False,False,9
8,move 4 from T1 to T1,1200.0,1130.0,1200.0,1130.0,False,False,10
9,move 1 from T2 to T2,1200.0,1130.0,1200.0,1130.0,False,False,11
10,move 3 from T1 to T1,1200.0,1130.0,1200.0,1130.0,False,False,12
11,swap stations,1220.0,1130.0,1220.0,1130.0,False,False,13
12,move 4 from T1 to T1,1220.0,1130.0,1220.0,1130.0,False,False,14
13,swap stations,1200.0,1130.0,1200.0,1130.0,False,False,15
14,move 1 from T2 to T2,1200.0,1130.0,1200.0,1130.0,False,False,16
15,flip assignment T1,1200.0,1130.0,1200.0,1130.0,False,False,17
16,move 1 from T2 to T1,1130.0,1130.0,1130.0,1130.0,False,False,18
17,flip assignment T2,1130.0,1130.0,1130.0,1130.0,False,False,18
18,move 1 from T1 to T1,1160.0,1130.0,1160.0,1130.0,False,False,18
19,swap stations,1160.0,1130.0,1160.0,1130.0,False,False,18
20,flip assignment T2,1160.0,1130.0,1160.0,1130.0,False,False,18
21,swap stations,1160.0,1130.0,1160.0,1130.0,False,False,18
22,move 4 from T1 to T1,1190.0,1130.0,1190.0,1130.0,False,False,18
23,flip assignment T2,1190.0,1130.0,1190.0,1130.0,False,False,18
24,move 3 from T2 to T1,45730.0,1130.0,45730.0,1130.0,False,False,18
25,move 1 from T1 to T2,1160.0,1130.0,1160.0,1130.0,False,False,18
26,swap stations,1160.0,1130.0,1160.0,1130.0,False,False,18
27,flip assignment T2,1160.0,1130.0,1160.0,1130.0,False,False,18
28,swap stations,1160.0,1130.0,1160.0,1130.0,False,False,18
29,move 2 from T1 to T1,1170.0,1130.0,1170.0,1130.0,False,False,18
30,flip assignment T2,1170.0,1130.0,1170.0,1130.0,False,False,18
31,move 4 from T1 to T2,1220.0,1130.0,1220.0,1130.0,False,False,18
32,move 3 from T1 to T1,1220.0,1130.0,1220.0,1130.0,False,False,18
33,move 4 from T2 to T2,1220.0,1130.0,1220.0,1130.0,False,False,18
34,move 2 from T1 to T1,1220.0,1130.0,1220.0,1130.0,False,False,18
35,move 4 from T2 to T1,1230.0,1130.0,1230.0,1130.0,False,False,18
36,flip assignment T2,1230.0,1130.0,1230.0,1130.0,False,False,18
37,move 3 from T1 to T2,1200.0,1130.0,1200.0,1130.0,False,False,18
38,move 4 from T1 to T1,1200.0,1130.0,1200.0,1130.0,False,False,18
